prioridade;situacao;fim;dias_restantes;veredito;uf;municipio;orgao;titulo;faltam;pagina_oficial;motivo_sem_pagina_oficial;familia_de_rota;exige_navegador;id
3;sem_prazo_confirmado;;;aprovado;PR;PR/Campo Mourão;PNCP — MUNICIPIO DE CAMPO MOURAO;Chamamento Público, objetivando firmar parceria por meio de Termo de Fomento com Organizações da Sociedade Civil (pessoa jurídica sem fins lucrativos), para implementação de projetos e consecução de finalidades de interesse público e recíproco proposto por organizações da sociedade civil com a trans;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;fb5227d30224aee62b5d
4;sem_prazo_confirmado;;;atencao;BA;BA/Alagoinhas;PNCP — MUNICIPIO DE ALAGOINHAS;CHAMAMENTO PÚBLICO PARA A SELEÇÃO DE PROJETOS CULTURAIS PARA RECEBEREM APOIO FINANCEIRO, COM O OBJETIVO DE INCENTIVAR A PRODUÇÃO E A FRUIÇÃO ARTÍSTICA E CULTURAL EM ÁREAS PERIFÉRICAS, URBANAS E RURAIS, BEM COMO EM TERRITÓRIOS DE POVOS E COMUNIDADES TRADICIONAIS.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;01efd9c4cbacbc782d98
4;sem_prazo_confirmado;;;atencao;PR;PR/Prudentópolis;PNCP — MUNICIPIO DE PRUDENTOPOLIS;Premiacao de agentes culturais que tenham prestado relevante contribuicao ao desenvolvimento artistico ou cultural do Municipio de Prudentopolis com recursos da Politica Nacional Aldir Blanc de fomento a cultura - PNAB LEI No 14.3992022.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;023bbe9cd308edd98a3d
4;sem_prazo_confirmado;;;atencao;;;TJGO - penas pecuniárias 1ª Vara de Execução Penal de Goiânia;Prêmio de Boas Práticas na Política Judiciária PopRuaJud;prazo de inscrição;https://www.cnj.jus.br/programas-e-acoes/direitos-humanos/politica-nacional-de-atencao-as-pessoas-em-situacao-de-rua-e-suas-interseccionalidades/premio-de-boas-praticas-na-politica-judiciaria-popruajud;;;nao;0376042606d6479cc32e
4;sem_prazo_confirmado;;;atencao;BR;;TJGO - penas pecuniárias 1ª Vara de Execução Penal de Goiânia;Prêmio de Boas Práticas na Política Judiciária PopRuaJud;prazo de inscrição, página oficial;;nenhum endereço capturado;;nao;0376042606d6479cc32e
4;sem_prazo_confirmado;;;atencao;SP;SP/Arujá;PNCP — MUNICIPIO DE ARUJA;Chamamento público para contratação de OSC para execução de serviços de abordagem social e acolhimento institucional emergencial em períodos de baixa temperatura, voltados à proteção de pessoas em vulnerabilidade.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;0aeca17ad40153d72098
4;sem_prazo_confirmado;;;atencao;;;Observatório do Terceiro Setor — editais;Instituto Impactarte abre edital para projetos de impacto social com apoio de até R$ 150 mil;prazo de inscrição, página oficial;;portal_de_noticia_do_terceiro_setor: não serve como fonte de prazo, objeto, pagina_oficial. Serve, e serve bem, para descobrir o nome do patrocinador e do edital. Dai em diante a fonte e o site do pro;portal_de_noticia_do_terceiro_setor;nao;0eac700d7cb170ff96b1
4;sem_prazo_confirmado;;;atencao;BR;;Instituto Impactarte;Instituto Impactarte abre edital para projetos de impacto social com apoio de até R$ 150 mil;prazo de inscrição;https://impactarte.com.br;;;nao;0eac700d7cb170ff96b1
4;sem_prazo_confirmado;;;atencao;MA;MA/Governador Luiz Rocha;PNCP — MUNICIPIO DE GOVERNADOR LUIZ ROCHA;O objeto deste Edital é a seleção de fomentos culturais para receberem apoio financeiro na categoria descrita, com o objetivo de incentivar as diversas formas de manifestações culturais no Município de Governador Luiz Rocha- MA e a participação dos mesmos.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;11768ed9d6ef89878efe
4;sem_prazo_confirmado;;;atencao;PR;PR/Iporã;PNCP — MUNICIPIO DE IPORA;SELECAO DE PROJETOS CULTURAIS COM RECURSOS DA POLITICA NACIONAL ALDIR BLANC DE FOMENTO A CULTURA PNAB LEI N 14.399 2022 FOMENTO A CULTURA DE IPORA.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;14a08a92997115da8279
4;sem_prazo_confirmado;;;atencao;SC;SC/Xanxerê;PNCP — MUNICIPIO DE XANXERE;Constitui-se em concurso para seleção de 14 (quatorze) projetos culturais nas categorias Formação e Produção, que contribuam para a produção, difusão, fomento, consumo, reflexão e profissionalização artística e cultural no município. A iniciativa tem como finalidade reconhecer e premiar agentes cult;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;196d0569cd32c3ab9ee7
4;sem_prazo_confirmado;;;atencao;RS;RS/Novo Hamburgo;PNCP — MUNICIPIO DE NOVO HAMBURGO;Chamamento Público Cultural nº 11/2024 - Edital de Fomento à Produção Artística e Cultural. Chamamento público para seleção de projetos culturais inéditos, por meio de fomento direto à produção artística e cultural, para repasse de recursos não reembolsáveis provenientes do fundo municipal de cultur;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;1eaba08f0097a3439216
4;sem_prazo_confirmado;;;atencao;AC;;PNCP — ESTADO DO ACRE;Constitui objeto deste Chamamento Público a Seleção pública de pessoa jurídica de direito privado, sem fins lucrativos, qualificada como Org;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;1f2ded3a
4;sem_prazo_confirmado;;;atencao;RS;RS/Farroupilha;PNCP — MUNICIPIO DE FARROUPILHA;Seleção de projetos culturais de artesãos locais para a confecção, entrega, montagem e desmontagem de decoração temática natalina, promovendo o fomento da cultura regional, o incentivo ao artesanato local e o fortalecimento do turismo no município. Processo SEI nº 0.016526/2026-59.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;20ec3e11386b87af1e16
4;sem_prazo_confirmado;;;atencao;DF;DF/Brasília;PNCP — INSTITUTO BRASILEIRO DE MUSEUS - IBRAM;Constitui objeto do presente Chamamento Público selecionar e premiar 40 (quarenta) ações de museologia social, realizadas por entidades culturais e coletivos culturais certificados como pontos de memória, nos termos do inciso III do art. 29 da Portaria Ibram nº 579, de 29 de julho de 2021. - Des;prazo de inscrição;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=42300220000012023;;;nao;217ba2edfd96404374b3
4;sem_prazo_confirmado;;;atencao;CE;CE/Horizonte;PNCP — MUNICIPIO DE HORIZONTE;Execução de projeto, programas e projetos de fomento e desenvolvimento do esporte de altor rendimento, amador e educacional, com emprego e recurso do Tesouro Municipal, consoante plano de trabalho, parte integrante indissociável deste ajuste.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;248f790790781eb96dce
4;sem_prazo_confirmado;;;atencao;PR;Guaíra;MUNICIPIO DE GUAIRA;Credenciamento das entidades hospitalares filantrópicas ou privadas sem fins lucrativos, interessados em participar de forma complementar do Sistema Único de Saúde - SUS, no município de Guaíra, através de serviços prestados nos termos do Programa Municipal de Apoio e Qualificação Hospitalar - HOSPG;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;25763cc0ca8d2e40e805
4;sem_prazo_confirmado;;;atencao;RS;RS/Lagoa Vermelha;PNCP — MUNICIPIO DE LAGOA VERMELHA;EDITAL DE CHAMAMENTO PÚBLICO objetivando à seleção de ações ou atividades alusivas ao Calendário Oficial de Eventos do Município de Lagoa Vermelha, a serem realizados no ano de 2024, para a concessão de auxílio financeiro através de patrocínio, nos termos e cláusulas estabelecidas neste Edital, de a;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;2a117bef388182e6cf5b
4;sem_prazo_confirmado;;;atencao;RJ;RJ/Japeri;PNCP — MUNICIPIO DE JAPERI;O presente Chamamento Público reger-se-á pela legislação aplicável à espécie, especialmente pela Lei nº 11.977, de 07 de julho de 2009, que instituiu o Programa Minha Casa, Minha Vida, atualmente reestruturado e vigente Lei nº 14.620, de 13 de julho de 2023, bem como pelas Portarias MCID nº 724 e n;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;2abadd217ee84f41ed61
4;sem_prazo_confirmado;;;atencao;CE;CE/Ipu;PNCP — MUNICIPIO DE IPU;CHAMAMENTO PÚBLICO DESTINADO À CELEBRAÇÃO DE TERMO DE COLABORAÇÃO COM O MUNICÍPIO DE IPU, ESTADO DO CEARÁ, POR INTERMÉDIO DA SECRETARIA MUNICIPAL DE EDUCAÇÃO, VISANDO À EXECUÇÃO DE AÇÕES INTEGRADAS E COMPLEMENTARES DESTINADAS AO FORTALECIMENTO DA POLÍTICA PÚBLICA EDUCACIONAL MUNICIPAL, CONFORME LEI;prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;2ba35f9a49970753e57d
4;sem_prazo_confirmado;;;atencao;RO;RO/Vilhena;PNCP — MUNICIPIO DE VILHENA;EDITAL DE CHAMAMENTO PARA CONCURSO DE PREMIAÇÃO DE DESTINAÇÃO DE IMPOSTO DE RENDA AO FUNDO MUNICIPAL DA CRIANÇA E ADOLESCENTE E AO FUNDO MUNICIPAL DE APOIO À POLÍTICA DOS DIREITOS DO IDOSO, DESTINADA A PROCESSAR E PREMIAR ATRAV´ÉS DE EDITAL DE CHAMAMENTO PÚBLICO JUNTO AOS PROFISSIONAIS DA CONTABILID;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;2beebeda35753fca9ba4
4;sem_prazo_confirmado;;;atencao;MT;MT/Colíder;PNCP — MUNICIPIO DE COLIDER;EDITAL DE CHAMAMENTO PÚBLICO DA PNAB COLÍDER/MT Nº 01/2024 SELEÇÃO DE PROJETOS PARA FIRMAR TERMO DE EXECUÇÃO CULTURAL COM RECURSOS DA POLÍTICA NACIONAL ALDIR BLANC DE FOMENTO À CULTURA – PNAB (LEI Nº 14.399/2022);prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;2e216c29f9b5444501ba
4;sem_prazo_confirmado;;;atencao;CE;CE/Ibiapina;PNCP — MUNICIPIO DE IBIAPINA;CHAMAMENTO PÚBLICO PARA CELEBRAÇÃO DE TERMO DE COLABORAÇÃO CUJO OBJETO É A CONCESSÃO DOS SERVIÇOS DE APOIO À ADMINISTRAÇÃO PÚBLICA MUNICIPAL PARA A CRIAÇÃO, EXECUÇÃO E MONITORAMENTO DE PROGRAMA DE CAPACITAÇÃO, VISANDO A MELHORIA DA QUALIFICAÇÃO TÉCNICA DA COMUNIDADE LOCAL;prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;30ec946c0da038e039cc
4;sem_prazo_confirmado;;;atencao;MT;MT/Mirassol d'Oeste;PNCP — MUNICIPIO DE MIRASSOL D'OESTE;PROCESSO PARA SELEÇÃO DE ENTIDADE DE DIREITO PRIVADO, SEM FINS LUCRATIVOS, QUALIFICADA COMO ORGANIZAÇÃO DA SOCIEDADE CIVIL DE INTERESSE PÚBLICO – OSCIP, NOS TERMOS DA LEI FEDERAL Nº 9.790/99, PARA FORMAÇÃO DE VÍNCULO DE COOPERAÇÃO, VISANDO O FOMENTO E REALIZAÇÃO DE ATIVIDADES DE INTERESSE PÚBLICO NO;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;34fcd0f7fbf6291a42f3
4;sem_prazo_confirmado;;;atencao;MG;MG/Belo Horizonte;;Credenciamento de pessoas jurídicas de direito público ou privado sem fins lucrativos, elencadas no art.3º, inciso III da Política de Patrocínio, nos termos da Lei nº 14.133, de 1º de abril de 2021 e do Decreto nº 11.878, de 09 de janeiro de 2024, Política de Patrocínio aprovada pelo Plenário do Cre;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;355c4786aaf951b8ab9a
4;sem_prazo_confirmado;;;atencao;PR;PR/Luiziana;PNCP — MUNICIPIO DE LUIZIANA;SELEÇÃO DE PROJETOS DE CAPACITAÇÕES, AÇÕES EDUCATIVAS, DE FORMAÇÃO E/OU QUALIFICAÇÃO NA ÁREA CULTURAL ATRAVES COM RECURSOS DA POLÍTICA NACIONAL ALDIR BLANC DE FOMENTO À CULTURA - PNAB (LEI NO 14.399/2022) - LUIZIANA PARANÁ;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;370a35b17408d622d9aa
4;sem_prazo_confirmado;;;atencao;SE;;PNCP — MUNICIPIO DE ARACAJU;O PRESENTE TERMO DE REFERÊNCIA DISCIPLINA O PROCEDIMENTO DE CHAMAMENTO PÚBLICO DESTINADO À SELEÇÃO DE PESSOAS JURÍDICAS INTERESSADAS EM ADQU;prazo de inscrição;https://aracajucompras.se.gov.br/publico/WKF.aspx?code=SECOM-CM0001/2026&validation=54699;;;nao;376797a4
4;sem_prazo_confirmado;;;atencao;RS;RS/Dois Irmãos;PNCP — MUNICIPIO DE DOIS IRMAOS;chamamento público , através do Edital da PNAB( Politica Nacional Aldir Blanc- Lei nº 14.399/2022).;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;3a87d7ba457d99a817a9
4;sem_prazo_confirmado;;;atencao;RO;RO/Vilhena;PNCP — MUNICIPIO DE VILHENA;Edital de chamamento para concurso de premiação conforme o programa Transforme seu Imposto em Esperança, com distribuição gratuita de prêmios àqueles que destinarem parte do imposto de renda bem como também aqueles que intermediarem tal procedimento, ao Fundo Municipal da Criança e Adolescente e ao;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;3bede719aa233d8049b1
4;sem_prazo_confirmado;;;atencao;RS;RS/Lagoa Vermelha;PNCP — MUNICIPIO DE LAGOA VERMELHA;CHAMAMENTO PÚBLICO objetivando à seleção de ações ou atividades alusivas ao Calendário Oficial de Eventos do Município de Lagoa Vermelha, a serem realizados no primeiro trimestre de ano de 2025, para a concessão de auxílio financeiro através de patrocínio, nos termos e cláusulas estabelecidas neste;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;3ffb0b79e795dad81d1f
4;sem_prazo_confirmado;;;atencao;RS;RS/Lagoa Vermelha;PNCP — MUNICIPIO DE LAGOA VERMELHA;EDITAL DE CHAMAMENTO PÚBLICO objetivando à seleção de ações ou atividades alusivas ao Calendário Oficial de Eventos do Município de Lagoa Vermelha, a serem realizados no quarto trimestre de ano de 2026, para a concessão de auxílio financeiro através de patrocínio, nos termos e cláusulas estabelecida;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;40f2d99588e2fd64b352
4;sem_prazo_confirmado;;;atencao;SP;SP/Porto Feliz;;PREMIO CULTURAL COM RECURSOS DA POLITICA NACIONAL ALDIR BLANC DE FOMENTO A CULTURA NO MUNICIPIO DE PORTO FELIZ SP LEI N 14.399 2022;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;42d12155e382f973b4a6
4;sem_prazo_confirmado;;;atencao;PR;PR/Colombo;PNCP — MUNICIPIO DE COLOMBO;Chamamento Público 008/2024. Seleção de Projetos destinados ao Apoio para produção cultural nas diversas áreas de atuação, conforme previsão contida na Lei Complementar nº 14.399/2022 (Política Nacional Aldir Blanc de Fomento à Cultura).;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;47869269b585c38a5736
4;sem_prazo_confirmado;;;atencao;RS;RS/Lagoa Vermelha;PNCP — MUNICIPIO DE LAGOA VERMELHA;CHAMAMENTO PÚBLICO e convoca as Organizações da Sociedade Civil (OSC), inscritas no Conselho da Criança e do Adolescente (COMDICA), a apresentarem projetos voltados à promoção, à proteção e à defesa dos Direitos da Criança e do Adolescente, a serem financiados pelo Fundo Municipal da Infância e Adol;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;485139734f31774a1a97
4;sem_prazo_confirmado;;;atencao;SC;SC/Planalto Alegre;PNCP — MUNICIPIO DE PLANALTO ALEGRE;CHAMAMENTO PÚBLICO PARA SELEÇÃO DE PROJETOS PARA FIRMAR TERMO DE EXECUÇÃO CULTURAL COM RECURSOS DA POLÍTICA NACIONAL ALDIR BLANC DE FOMENTO À CULTURA - PNAB (LEI Nº 14.399/2022);prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;49373ee8da52fa1ed6a0
4;sem_prazo_confirmado;;;atencao;PR;PR/Curitiba;;Chamamento público para seleção de interessados na utilização de espaços públicos para uso de estrutura física para uso de mão de obra prisional nos estabelecimentos penais na Regional de Maringá no Estado do Paraná, mediante adesão às condições previstas na Minuta de Termo de Cooperação e Permissão;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;4a82410403873bccf220
4;sem_prazo_confirmado;;;atencao;ES;;PNCP — MUNICIPIO DE ITAPEMIRIM;Constitui objeto do presente chamamento público a seleção de pessoa jurídica de direito privado, sem fins lucrativos, qualificada como Organ;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;4c336356
4;sem_prazo_confirmado;;;atencao;MT;MT/Nobres;PNCP — MUNICIPIO DE NOBRES;SELEÇÃO DE ENTIDADE DE DIREITO PRIVADO, SEM FINS LUCRATIVOS, QUALIFICADA COMO ORGANIZAÇÃO DA SOCIEDADE CIVIL DE INTERESSE PÚBLICO – OSCIP PARA CELEBRAR TERMO DE PARCERIA PARA FORMAÇÃO DE VÍNCULO DE COOPERAÇÃO, VISANDO O FOMENTO E REALIZAÇÃO DE ATIVIDADES DE INTERESSE PÚBLICO NO DESENVOLVIMENTO DE PR;prazo de inscrição;https://transparencia.nobres.mt.gov.br/prefnobres-mt/licitacoes/licitacao?id=5517;;;nao;4c94a13f418fba0d0715
4;sem_prazo_confirmado;;;atencao;PR;PR/Mamborê;PNCP — MUNICIPIO DE MAMBORE;Termo de Colaboração para apoio cultural com entidades mantenedoras de rádios comunitárias;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;4e8961e172feb22c5227
4;sem_prazo_confirmado;;;atencao;BA;BA/Itacaré;PNCP — MUNICIPIO DE ITACARE;CHAMAMENTO PÚBLICO PARA SELEÇÃO DE PROJETOS CULTURAIS, POR MEIO DE FOMENTO DIRETO À EXECUÇÃO DE AÇÕES. PARA REPASSE DE RECURSOS NÃO REEMBOLSÁVEIS PROVENIENTES DA POLÍTICA NACIONAL ALDIR BLANC - PNAB, INSTITUÍDA PELA LEI FEDERAL Nº 14.399, DE 8 DE JULHO DE 2022;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;4ff67a8be58771740f50
4;sem_prazo_confirmado;;;atencao;RJ;RJ/Rio de Janeiro;PNCP — INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL;O II Prêmio PI nas Escolas tem por objeto o fomento, em âmbito nacional, da inserção da propriedade intelectual nas escolas da rede pública e privada de ensino, no âmbito federal, estadual e municipal, mediante o reconhecimento e valorização de professores e gestores escolares, conforme condições es;prazo de inscrição;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=18303820900012024;;;nao;5258a95ad63285f99b87
4;sem_prazo_confirmado;;;atencao;GO;GO/Cavalcante;PNCP — FUNDO MUNICIPAL DE CULTURA - CAVALCANTE;CHAMAMENTO PÚBLICO Nº 01/2024 – PREMIAÇÃO PARA FESTEJOS POPULARES QUE ACONTECEM NO MÍNIMO A 5 ANOS NO MUNICÍPIO DE CAVALCANTE/GOIÁS – PREMIAÇÃO PARA AGENTES CULTURAIS COM RECURSOS DA POLÍTICA NACIONAL ALDIR BLANC DE FOMENTO À CULTURA – PNAB (LEI Nº 14.399/2022);prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;5456e0e05221a7c52df8
4;sem_prazo_confirmado;;;atencao;DF;DF/Brasília;;CHAMAMENTO PÚBLICO para seleção de Entidades sem Fins Lucrativos ¿ ESFL, inscritas no Cadastro Nacional da Aprendizagem, que tenham por objetivo a formação técnico-profissional de jovens, para execução do Programa de Aprendizagem da CAIXA.;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;57c89961908faa5f036f
4;sem_prazo_confirmado;;;atencao;MT;MT/Nova Ubiratã;PNCP — MUNICIPIO DE NOVA UBIRATA;Seleção de entidade de direito privado, sem fins lucrativos, qualificada como Organização da Sociedade Civil de Interesse Público – OSCIP, nos termos da Lei Federal n° 9.790/99, para celebrar TERMO DE PARCERIA para formação de vínculo de cooperação, visando o fomento e realização de atividades de in;prazo de inscrição, página oficial;;plataforma_privada_de_licitacao: não serve como fonte de prazo, objeto, pagina_oficial. relocalizar o registro pela busca oficial do PNCP (familia pncp_busca) e usar a pagina do PNCP como pagina ofici;plataforma_privada_de_licitacao;nao;5865b8b689804b8e557e
4;sem_prazo_confirmado;;;atencao;MT;;PNCP — MUNICIPIO DE NOVA UBIRATA;Seleção de entidade de direito privado, sem fins lucrativos, qualificada como Organização da Sociedade Civil de Interess;prazo de inscrição, página oficial;;nenhum endereço capturado;;nao;5865b8b689804b8e557e
4;sem_prazo_confirmado;;;atencao;SC;SC/Xanxerê;PNCP — MUNICIPIO DE XANXERE;Concurso para seleção de 14 (quatorze) projetos culturais nas Categorias Eventos (realização de mostras, feiras, festivais, gincanas, salões, concursos, shows, entre outros eventos com cunho artístico e cultural) e Categoria Circulação (fomento à circulação de espetáculos, apresentações, intervençõ;prazo de inscrição;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=98838320900012024;;;nao;5b2002af84d7311550c8
4;sem_prazo_confirmado;;;atencao;SC;;PNCP — MUNICIPIO DE XANXERE;Concurso para seleção de 14 (quatorze) projetos culturais nas Categorias Eventos (realização de mostras, feiras, festiv;prazo de inscrição, página oficial;;nenhum endereço capturado;;nao;5b2002af84d7311550c8
4;sem_prazo_confirmado;;;atencao;GO;GO/Alvorada do Norte;PNCP — MUNICIPIO DE ALVORADA DO NORTE;Realização de Chamamento Público visando a Seleção de Agentes Culturais de Audiovisual que tenham prestado relevante contribuição ao desenvolvimento artístico ou cultural do Município de Alvorada do Norte - Goiás, COM RECURSOS DA LEI COMPLEMENTAR Nº 195/2022 (LEI PAULO GUSTAVO).;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;5b991f651a1905c579de
4;sem_prazo_confirmado;;;atencao;MG;MG/Wenceslau Braz;PNCP — MUNICIPIO DE WENCESLAU BRAZ;SELECAO DE PROJETOS PARA FIRMAR TERMO DE EXECUCAO CULTURAL COMRECURSOS DA POLITICA NACIONAL ALDIR BLANC DE FOMENTO A CULTURA – PNAB LEI Nº 14 399/2022';prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;63d4a2a3748953c0568b
4;sem_prazo_confirmado;;;atencao;MT;MT/Colniza;PNCP — MUNICIPIO DE COLNIZA;SELEÇÃO DE ENTIDADE DE DIREITO PRIVADO, SEM FINS LUCRATIVOS, QUALIFICADA COMO ORGANIZAÇÃO DA SOCIEDADE CIVIL DE INTERESSE PÚBLICO – OSCIP, PARA CELEBRAR TERMO DE PARCERIA PARA FORMAÇÃO DE VÍNCULO DE COOPERAÇÃO, VISANDO O FOMENTO E REALIZAÇÃO DE ATIVIDADES DE INTERESSE PÚBLICO NO DESENVOLVIMENTO DE P;prazo de inscrição, página oficial;;portal de divulgação, não é a página oficial do edital: serve para descobrir o número do processo e o nome do órgão, e a partir daí a fonte é o site do órgão;pncp_api_consulta;sim;6778d5aa826c7b107693
